2026-03-03 13:13:16,003 | INFO | qtile.startup | Qtile config started
2026-03-03 13:13:16,014 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 13:13:16,015 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 13:23:26,148 | INFO | qtile.startup | Qtile config started
2026-03-03 13:23:26,161 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 13:23:26,161 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 13:24:55,654 | INFO | qtile.startup | Qtile config started
2026-03-03 13:24:55,657 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 13:24:55,657 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 13:24:55,669 | INFO | qtile.startup | Qtile config started
2026-03-03 13:24:55,673 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 13:24:55,673 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 13:25:01,772 | INFO | qtile.startup | Qtile config started
2026-03-03 13:27:40,905 | INFO | qtile.startup | Qtile config started
2026-03-03 13:27:48,396 | INFO | qtile.startup | Qtile config started
2026-03-03 13:27:48,400 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 13:27:48,400 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 13:27:48,412 | INFO | qtile.startup | Qtile config started
2026-03-03 13:27:48,416 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 13:27:48,416 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 13:28:18,569 | INFO | qtile.loger | Qtile config started
2026-03-03 13:28:18,573 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 13:28:18,574 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 13:28:18,584 | INFO | qtile.loger | Qtile config started
2026-03-03 13:28:18,588 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 13:28:18,588 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 13:32:28,038 | INFO | qtile.loger | Qtile config started
2026-03-03 13:32:28,042 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 13:32:28,042 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 13:32:28,053 | INFO | qtile.loger | Qtile config started
2026-03-03 13:32:28,056 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 13:32:28,056 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 13:35:13,145 | INFO | qtile.startup | Qtile config started
2026-03-03 13:35:13,145 | ERROR | qtile.startup | Caught an error: division by zero
2026-03-03 13:35:13,151 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 13:35:13,151 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 13:35:13,163 | INFO | qtile.startup | Qtile config started
2026-03-03 13:35:13,163 | ERROR | qtile.startup | Caught an error: division by zero
2026-03-03 13:35:13,167 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 13:35:13,167 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 13:35:46,120 | INFO | qtile.startup | Qtile config started
2026-03-03 13:35:46,120 | ERROR | qtile.startup | Caught an error: division by zero
2026-03-03 13:35:46,124 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 13:35:46,125 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 13:35:46,136 | INFO | qtile.startup | Qtile config started
2026-03-03 13:35:46,136 | ERROR | qtile.startup | Caught an error: division by zero
2026-03-03 13:35:46,140 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 13:35:46,140 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 13:36:36,412 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 13:36:36,412 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 13:36:36,427 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 13:36:36,427 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 17:56:35,057 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 17:56:35,057 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 17:56:35,071 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 17:56:35,072 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 18:55:48,355 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 18:55:48,355 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 18:55:48,369 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 18:55:48,369 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 19:42:36,630 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 19:42:36,630 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 19:42:36,646 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 19:42:36,646 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 19:51:16,594 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 19:51:16,594 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 19:51:16,610 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 19:51:16,610 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 20:09:58,029 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 20:09:58,030 | INFO | qtile.mouse | Mouse bindings loaded: 3
2026-03-03 20:09:58,044 | INFO | qtile.mouse | Mouse config loaded from: /home/max/.config/qtile/config_qtile/theme/settings_json/mouse.json
2026-03-03 20:09:58,044 | INFO | qtile.mouse | Mouse bindings loaded: 3
